,county,Population
0,Autauga,61464
1,Baldwin,261608
2,Barbour,24358
3,Bibb,22258
4,Blount,60163
5,Bullock,9901
6,Butler,18256
7,Calhoun,116427
8,Chambers,33813
9,Cherokee,26138
10,Chilton,47262
11,Choctaw,12052
12,Clarke,22142
13,Clay,14239
14,Cleburne,15905
15,Coffee,56358
16,Colbert,58785
17,Conecuh,11109
18,Coosa,10291
19,Covington,37748
20,Crenshaw,13114
21,Cullman,92604
22,Dale,50067
23,Dallas,35545
24,DeKalb,73122
25,Elmore,91042
26,Escambia,36630
27,Etowah,103207
28,Fayette,15863
29,Franklin,31874
30,Geneva,27259
31,Greene,7127
32,Hale,15116
33,Henry,18141
34,Houston,109366
35,Jackson,53780
36,Jefferson,664744
37,Lamar,13543
38,Lauderdale,97502
39,Lawrence,33567
40,Lee,187847
41,Limestone,118942
42,Lowndes,9485
43,Macon,18159
44,Madison,423355
45,Marengo,18512
46,Marion,29323
47,Marshall,102156
48,Mobile,412339
49,Monroe,19057
50,Montgomery,225894
51,Morgan,126084
52,Perry,7719
53,Pickens,18508
54,Pike,33124
55,Randolph,23067
56,Russell,58837
57,St. Clair,96927
58,Shelby,235969
59,Sumter,11607
60,Talladega,81375
61,Tallapoosa,40699
62,Tuscaloosa,241212
63,Walker,65260
64,Washington,15018
65,Wilcox,9865
66,Winston,23869
67,,3632
68,,5424
69,,289600
70,,18237
71,,884
72,,6604
73,,2631
74,,1621
75,,4642
76,,94951
77,,2104
78,,2312
79,,31572
80,,61259
81,,13677
82,,12654
83,,7946
84,,1315
85,,117613
86,,9836
87,,10663
88,,7134
89,,3436
90,,5746
91,,8355
92,,1119
93,,7313
94,,2064
95,,690
96,,5099
97,Apache,64800
98,Cochise,125773
99,Coconino,145161
100,Gila,54073
101,Graham,40242
102,Greenlee,9410
103,La Paz,16992
104,Maricopa,4673096
105,Mohave,226479
106,Navajo,109516
107,Pima,1080149
108,Pinal,513862
109,Santa Cruz,50508
110,Yavapai,252013
111,Yuma,220310
112,Arkansas,16050
113,Ashley,17984
114,Baxter,43007
115,Benton,321566
116,Boone,38636
117,Bradley,9935
118,Calhoun,4690
119,Carroll,28968
120,Chicot,9272
121,Clark,20920
122,Clay,14112
123,Cleburne,25646
124,Cleveland,7367
125,Columbia,22024
126,Conway,21422
127,Craighead,115852
128,Crawford,62258
129,Crittenden,46633
130,Cross,16194
131,Dallas,6076
132,Desha,10321
133,Drew,16935
134,Faulkner,131611
135,Franklin,17586
136,Fulton,12546
137,Garland,99902
138,Grant,18546
139,Greene,46928
140,Hempstead,19105
141,Hot Spring,33313
142,Howard,12387
143,Independence,38345
144,Izard,14291
145,Jackson,16673
146,Jefferson,63672
147,Johnson,26172
148,Lafayette,6015
149,Lawrence,16305
150,Lee,8104
151,Lincoln,12868
152,Little River,11626
153,Logan,21457
154,Lonoke,76389
155,Madison,17865
156,Marion,17593
157,Miller,41958
158,Mississippi,38095
159,Monroe,6415
160,Montgomery,8510
161,Nevada,8004
162,Newton,7026
163,Ouachita,21684
164,Perry,10251
165,Phillips,14661
166,Pike,10027
167,Poinsett,22300
168,Polk,19434
169,Pope,64829
170,Prairie,7935
171,Pulaski,401209
172,Randolph,19040
173,St. Francis,21822
174,Saline,131252
175,Scott,9837
176,Searcy,7836
177,Sebastian,130035
178,Sevier,15735
179,Sharp,18130
180,Stone,12785
181,Union,37008
182,Van Buren,16152
183,Washington,266184
184,White,79091
185,Woodruff,5808
186,Yell,20134
187,Alameda,1649060
188,Alpine,1099
189,Amador,42026
190,Butte,208334
191,Calaveras,46505
192,Colusa,22074
193,Contra Costa,1172607
194,Del Norte,27009
195,El Dorado,192823
196,Fresno,1024125
197,Glenn,28304
198,Humboldt,132380
199,Imperial,181724
200,Inyo,18485
201,Kern,922529
202,Kings,154913
203,Lake,67764
204,Lassen,28340
205,Los Angeles,9757179
206,Madera,165432
207,Marin,256400
208,Mariposa,17048
209,Mendocino,89175
210,Merced,296774
211,Modoc,8491
212,Mono,12991
213,Monterey,436251
214,Napa,132727
215,Nevada,102195
216,Orange,3170435
217,Placer,433822
218,Plumas,18834
219,Riverside,2529933
220,Sacramento,1611231
221,San Benito,69159
222,San Bernardino,2214281
223,San Diego,3298799
224,San Francisco,827526
225,San Joaquin,816108
226,San Luis Obispo,281843
227,San Mateo,742893
228,Santa Barbara,444500
229,Santa Clara,1926325
230,Santa Cruz,262406
231,Shasta,181121
232,Sierra,3113
233,Siskiyou,42498
234,Solano,455101
235,Sonoma,485375
236,Stanislaus,556972
237,Sutter,98545
238,Tehama,64451
239,Trinity,15642
240,Tulare,483546
241,Tuolumne,53893
242,Ventura,835427
243,Yolo,225251
244,Yuba,87469
245,Adams,542973
246,Alamosa,16689
247,Arapahoe,666918
248,Archuleta,14112
249,Baca,3367
250,Bent,5779
251,Boulder,330262
252,Broomfield,78323
253,Chaffee,20780
254,Cheyenne,1712
255,Clear Creek,9076
256,Conejos,7549
257,Costilla,3686
258,Crowley,5600
259,Custer,5553
260,Delta,32215
261,Denver,729019
262,Dolores,2467
263,Douglas,393995
264,Eagle,54330
265,Elbert,29382
266,El Paso,752772
267,Fremont,50093
268,Garfield,63167
269,Gilpin,5963
270,Grand,16154
271,Gunnison,17310
272,Hinsdale,747
273,Huerfano,6988
274,Jackson,1273
275,Jefferson,578533
276,Kiowa,1392
277,Kit Carson,7080
278,Lake,7369
279,La Plata,56823
280,Larimer,374574
281,Las Animas,14518
282,Lincoln,5598
283,Logan,20755
284,Mesa,161260
285,Mineral,933
286,Moffat,13142
287,Montezuma,26841
288,Montrose,44806
289,Morgan,30300
290,Otero,17991
291,Ouray,5197
292,Park,18316
293,Phillips,4488
294,Pitkin,16643
295,Prowers,11957
296,Pueblo,169866
297,Rio Blanco,6607
298,Rio Grande,11132
299,Routt,25243
300,Saguache,6670
301,San Juan,821
302,San Miguel,7819
303,Sedgwick,2257
304,Summit,30882
305,Teller,24862
306,Washington,4771
307,Weld,369745
308,Yuma,10048
309,,991508
310,,335666
311,,177540
312,,462220
313,,97701
314,,114101
315,,576718
316,,282602
317,,637013
318,Kent,192690
319,New Castle,588093
320,Sussex,271134
321,,702250
322,Alachua,291782
323,Baker,29325
324,Bay,199718
325,Bradford,28075
326,Brevard,658447
327,Broward,2037472
328,Calhoun,13278
329,Charlotte,212122
330,Citrus,170174
331,Clay,236760
332,Collier,416233
333,Columbia,73977
334,DeSoto,36744
335,Dixie,17614
336,Duval,1055159
337,Escambia,331275
338,Flagler,136744
339,Franklin,12979
340,Gadsden,44151
341,Gilchrist,20233
342,Glades,13132
343,Gulf,15876
344,Hamilton,14334
345,Hardee,26068
346,Hendry,46130
347,Hernando,218150
348,Highlands,109778
349,Hillsborough,1581426
350,Holmes,19876
351,Indian River,172139
352,Jackson,49980
353,Jefferson,15921
354,Lafayette,8640
355,Lake,444204
356,Lee,860959
357,Leon,300488
358,Levy,47765
359,Liberty,7955
360,Madison,18364
361,Manatee,458352
362,Marion,428905
363,Martin,165666
364,Miami-Dade,2838461
365,Monroe,80908
366,Nassau,104376
367,Okaloosa,220483
368,Okeechobee,42369
369,Orange,1533646
370,Osceola,468058
371,Palm Beach,1582055
372,Pasco,659114
373,Pinellas,965870
374,Polk,852878
375,Putnam,77301
376,St. Johns,334928
377,St. Lucie,390670
378,Santa Rosa,207653
379,Sarasota,476604
380,Seminole,494605
381,Sumter,154693
382,Suwannee,47536
383,Taylor,21843
384,Union,15738
385,Volusia,602772
386,Wakulla,37115
387,Walton,89666
388,Washington,26503
389,Appling,18669
390,Atkinson,8435
391,Bacon,11045
392,Baker,2732
393,Baldwin,43644
394,Banks,20318
395,Barrow,96294
396,Bartow,117508
397,Ben Hill,16945
398,Berrien,18666
399,Bibb,157056
400,Bleckley,12626
401,Brantley,18795
402,Brooks,16344
403,Bryan,51105
404,Bulloch,85454
405,Burke,24472
406,Butts,27127
407,Calhoun,5441
408,Camden,59099
409,Candler,11130
410,Carroll,129911
411,Catoosa,68940
412,Charlton,13021
413,Chatham,307336
414,Chattahoochee,8548
415,Chattooga,25306
416,Cherokee,293513
417,Clarke,129995
418,Clay,2815
419,Clayton,297703
420,Clinch,6871
421,Cobb,787538
422,Coffee,43851
423,Colquitt,46977
424,Columbia,167472
425,Cook,17984
426,Coweta,158233
427,Crawford,12349
428,Crisp,19468
429,Dade,16068
430,Dawson,33748
431,Decatur,29391
432,DeKalb,770307
433,Dodge,19630
434,Dooly,11186
435,Dougherty,82418
436,Douglas,151887
437,Early,10444
438,Echols,3698
439,Effingham,73148
440,Elbert,20152
441,Emanuel,23224
442,Evans,10869
443,Fannin,25854
444,Fayette,125107
445,Floyd,101390
446,Forsyth,280096
447,Franklin,25208
448,Fulton,1090354
449,Gilmer,33327
450,Glascock,3008
451,Glynn,86540
452,Gordon,60765
453,Grady,26271
454,Greene,21091
455,Gwinnett,1003869
456,Habersham,49665
457,Hall,221745
458,Hancock,8683
459,Haralson,32404
460,Harris,36929
461,Hart,28052
462,Heard,12119
463,Henry,259315
464,Houston,174897
465,Irwin,9155
466,Jackson,93825
467,Jasper,17219
468,Jeff Davis,15119
469,Jefferson,15019
470,Jenkins,8836
471,Johnson,9178
472,Jones,29047
473,Lamar,20690
474,Lanier,10464
475,Laurens,50287
476,Lee,34073
477,Liberty,68607
478,Lincoln,8049
479,Long,20439
480,Lowndes,122082
481,Lumpkin,36016
482,McDuffie,21764
483,McIntosh,11800
484,Macon,11831
485,Madison,32771
486,Marion,7635
487,Meriwether,21439
488,Miller,5824
489,Mitchell,20329
490,Monroe,31437
491,Montgomery,8566
492,Morgan,21940
493,Murray,41316
494,Muscogee,201830
495,Newton,124010
496,Oconee,44751
497,Oglethorpe,16172
498,Paulding,188549
499,Peach,29213
500,Pickens,36580
501,Pierce,20669
502,Pike,20669
503,Polk,44610
504,Pulaski,10180
505,Putnam,23383
506,Quitman,2323
507,Rabun,17711
508,Randolph,6085
509,Richmond,206303
510,Rockdale,97610
511,Schley,4503
512,Screven,14325
513,Seminole,9274
514,Spalding,70292
515,Stephens,27498
516,Stewart,4809
517,Sumter,28972
518,Talbot,5755
519,Taliaferro,1620
520,Tattnall,24275
521,Taylor,7783
522,Telfair,11000
523,Terrell,8698
524,Thomas,46054
525,Tift,41708
526,Toombs,27488
527,Towns,13184
528,Treutlen,6420
529,Troup,71513
530,Turner,9023
531,Twiggs,7728
532,Union,27601
533,Upson,28358
534,Walker,69340
535,Walton,109792
536,Ware,36222
537,Warren,5148
538,Washington,19834
539,Wayne,32132
540,Webster,2315
541,Wheeler,7076
542,White,29668
543,Whitfield,105070
544,Wilcox,8904
545,Wilkes,9567
546,Wilkinson,8667
547,Worth,20262
548,Hawaii,209790
549,Honolulu,998747
550,Kalawao,81
551,Kauai,73840
552,Maui,163688
553,Ada,535799
554,Adams,4998
555,Bannock,91010
556,Bear Lake,6779
557,Benewah,10529
558,Bingham,50889
559,Blaine,25261
560,Boise,8581
561,Bonner,53955
562,Bonneville,133644
563,Boundary,14040
564,Butte,2735
565,Camas,1247
566,Canyon,266892
567,Caribou,7239
568,Cassia,25976
569,Clark,794
570,Clearwater,9151
571,Custer,4597
572,Elmore,29729
573,Franklin,15638
574,Fremont,14399
575,Gem,21857
576,Gooding,16189
577,Idaho,17912
578,Jefferson,34854
579,Jerome,26056
580,Kootenai,188323
581,Latah,42180
582,Lemhi,8397
583,Lewis,3728
584,Lincoln,5556
585,Madison,55549
586,Minidoka,22691
587,Nez Perce,42847
588,Oneida,4976
589,Owyhee,12748
590,Payette,27662
591,Power,8381
592,Shoshone,14074
593,Teton,12932
594,Twin Falls,96509
595,Valley,12777
596,Washington,11539
597,Adams,64109
598,Alexander,4594
599,Bond,16576
600,Boone,53313
601,Brown,6307
602,Bureau,32486
603,Calhoun,4224
604,Carroll,15444
605,Cass,12713
606,Champaign,212374
607,Christian,33247
608,Clark,15076
609,Clay,12821
610,Clinton,37087
611,Coles,46423
612,Cook,5182617
613,Crawford,18388
614,Cumberland,10305
615,DeKalb,101335
616,De Witt,15319
617,Douglas,19824
618,DuPage,937142
619,Edgar,16398
620,Edwards,5984
621,Effingham,34602
622,Fayette,21157
623,Ford,13451
624,Franklin,37033
625,Fulton,32510
626,Gallatin,4690
627,Greene,11417
628,Grundy,53835
629,Hamilton,7818
630,Hancock,17008
631,Hardin,3550
632,Henderson,6048
633,Henry,48177
634,Iroquois,26067
635,Jackson,53199
636,Jasper,9092
637,Jefferson,36107
638,Jersey,21150
639,Jo Daviess,21528
640,Johnson,13320
641,Kane,520997
642,Kankakee,106410
643,Kendall,143171
644,Knox,48716
645,Lake,718604
646,LaSalle,108390
647,Lawrence,14801
648,Lee,33544
649,Livingston,35375
650,Logan,27518
651,McDonough,26662
652,McHenry,315959
653,McLean,172069
654,Macon,100737
655,Macoupin,43895
656,Madison,263017
657,Marion,36437
658,Marshall,11552
659,Mason,12543
660,Massac,13627
661,Menard,11963
662,Mercer,15292
663,Monroe,34969
664,Montgomery,27615
665,Morgan,32618
666,Moultrie,14365
667,Ogle,51345
668,Peoria,179630
669,Perry,20272
670,Piatt,16628
671,Pike,14258
672,Pope,3703
673,Pulaski,4879
674,Putnam,5633
675,Randolph,29903
676,Richland,15362
677,Rock Island,142731
678,St. Clair,251149
679,Saline,22826
680,Sangamon,194345
681,Schuyler,6750
682,Scott,4880
683,Shelby,20542
684,Stark,5272
685,Stephenson,43088
686,Tazewell,129821
687,Union,16886
688,Vermilion,71106
689,Wabash,10979
690,Warren,16217
691,Washington,13535
692,Wayne,15928
693,White,13395
694,Whiteside,54657
695,Will,708583
696,Williamson,67064
697,Winnebago,283790
698,Woodford,38290
699,Adams,36584
700,Allen,399295
701,Bartholomew,84741
702,Benton,8853
703,Blackford,11816
704,Boone,78773
705,Brown,15650
706,Carroll,20747
707,Cass,37559
708,Clark,127479
709,Clay,26424
710,Clinton,32895
711,Crawford,10523
712,Daviess,34097
713,Dearborn,51435
714,Decatur,26421
715,DeKalb,44330
716,Delaware,112951
717,Dubois,43629
718,Elkhart,207436
719,Fayette,23335
720,Floyd,81931
721,Fountain,16833
722,Franklin,23136
723,Fulton,20004
724,Gibson,33038
725,Grant,66458
726,Greene,31219
727,Hamilton,379704
728,Hancock,88810
729,Harrison,39978
730,Hendricks,190629
731,Henry,49081
732,Howard,84082
733,Huntington,36944
734,Jackson,47420
735,Jasper,33387
736,Jay,20164
737,Jefferson,32921
738,Jennings,27634
739,Johnson,170614
740,Knox,35872
741,Kosciusko,80669
742,LaGrange,41122
743,Lake,502955
744,LaPorte,111348
745,Lawrence,45192
746,Madison,134222
747,Marion,981628
748,Marshall,46464
749,Martin,9864
750,Miami,35613
751,Monroe,140702
752,Montgomery,38633
753,Morgan,73825
754,Newton,14131
755,Noble,47811
756,Ohio,5996
757,Orange,19824
758,Owen,21851
759,Parke,16508
760,Perry,19320
761,Pike,12116
762,Porter,175860
763,Posey,25067
764,Pulaski,12421
765,Putnam,37804
766,Randolph,24337
767,Ripley,29214
768,Rush,16759
769,St. Joseph,273744
770,Scott,24751
771,Shelby,45654
772,Spencer,20192
773,Starke,23463
774,Steuben,34862
775,Sullivan,20768
776,Switzerland,9988
777,Tippecanoe,191650
778,Tipton,15324
779,Union,6884
780,Vanderburgh,180387
781,Vermillion,15516
782,Vigo,106166
783,Wabash,30777
784,Warren,8451
785,Warrick,66339
786,Washington,28345
787,Wayne,66410
788,Wells,28798
789,White,24833
790,Whitley,34885
791,Adair,7431
792,Adams,3606
793,Allamakee,14184
794,Appanoose,12106
795,Audubon,5562
796,Benton,25799
797,Black Hawk,132348
798,Boone,26729
799,Bremer,25328
800,Buchanan,20733
801,Buena Vista,20816
802,Butler,14156
803,Calhoun,9711
804,Carroll,20407
805,Cass,13024
806,Cedar,18231
807,Cerro Gordo,42493
808,Cherokee,11658
809,Chickasaw,11719
810,Clarke,9524
811,Clay,16474
812,Clayton,16931
813,Clinton,46015
814,Crawford,16378
815,Dallas,115343
816,Davis,9193
817,Decatur,7656
818,Delaware,17609
819,Des Moines,38411
820,Dickinson,18158
821,Dubuque,99242
822,Emmet,9162
823,Fayette,19152
824,Floyd,15008
825,Franklin,10024
826,Fremont,6494
827,Greene,8662
828,Grundy,12405
829,Guthrie,10774
830,Hamilton,14856
831,Hancock,10616
832,Hardin,16464
833,Harrison,14626
834,Henry,19361
835,Howard,9360
836,Humboldt,9617
837,Ida,6810
838,Iowa,16423
839,Jackson,19390
840,Jasper,38107
841,Jefferson,15781
842,Johnson,160080
843,Jones,21116
844,Keokuk,9855
845,Kossuth,14408
846,Lee,32376
847,Linn,231762
848,Louisa,10630
849,Lucas,8758
850,Lyon,12378
851,Madison,17161
852,Mahaska,22034
853,Marion,34048
854,Marshall,40392
855,Mills,14717
856,Mitchell,10632
857,Monona,8429
858,Monroe,7373
859,Montgomery,10063
860,Muscatine,42132
861,O'Brien,14260
862,Osceola,6036
863,Page,15038
864,Palo Alto,8809
865,Plymouth,25825
866,Pocahontas,7006
867,Polk,516185
868,Pottawattamie,93529
869,Poweshiek,18454
870,Ringgold,4608
871,Sac,9533
872,Scott,175601
873,Shelby,11821
874,Sioux,36554
875,Story,102498
876,Tama,16738
877,Taylor,5825
878,Union,11955
879,Van Buren,7217
880,Wapello,35681
881,Warren,56343
882,Washington,22631
883,Wayne,6622
884,Webster,36909
885,Winnebago,10383
886,Winneshiek,19723
887,Woodbury,107257
888,Worth,7307
